iter	RMSE
0	1.086523495
1	1.02207688
2	0.9672608784
3	0.9147950913
4	0.8690837482
5	0.8314053948
6	0.7969986953
7	0.7685063028
8	0.7414171083
9	0.7143020375
10	0.6909530328
11	0.6736752685
12	0.656936121
13	0.6421631457
14	0.6291413621
15	0.6165912331
16	0.6057884776
17	0.5963580383
18	0.5856354476
19	0.57818294
20	0.5723236628
21	0.5671146719
22	0.5604131511
23	0.5532151859
24	0.5486971907
25	0.5434095918
26	0.5376588631
27	0.5338663928
28	0.5300167581
29	0.5266983665
30	0.5236503294
31	0.5201016927
32	0.5179412771
33	0.5154874841
34	0.5132125625
35	0.5107899829
36	0.5085380971
37	0.5067569678
38	0.503951983
39	0.5018759248
40	0.4995740131
41	0.4968535278
42	0.494288722
43	0.491873795
44	0.4891849403
45	0.4875886996
46	0.4856371774
47	0.4840887427
48	0.4821385169
49	0.4804432568
50	0.479138059
51	0.4778450363
52	0.4756551663
53	0.4741639946
54	0.472851115
55	0.4709733189
56	0.4697888136
57	0.4683420703
58	0.4668659944
59	0.465359731
60	0.4640036129
61	0.4625862341
62	0.4610713324
63	0.4593964482
64	0.4584660828
65	0.4565697644
66	0.4555509237
67	0.4543343019
68	0.4529989347
69	0.4514187926
70	0.4502997524
71	0.4491299671
72	0.4480211791
73	0.4467310094
74	0.4457227722
75	0.4443325067
76	0.443435231
77	0.4424044506
78	0.4410691967
79	0.4399845605
80	0.4385942868
81	0.4375101124
82	0.4364161451
83	0.4357073958
84	0.434661278
85	0.4336267315
86	0.4328471212
87	0.4317068175
88	0.4309343111
89	0.429676746
90	0.4290940419
91	0.4280374114
92	0.4270025496
93	0.426079749
94	0.4251786771
95	0.4242998495
96	0.4235845402
97	0.4227414471
98	0.4219309771
99	0.4211193027
100	0.4201295302
101	0.4189302566
102	0.4180658371
103	0.4174618782
104	0.4163588224
105	0.4156908801
106	0.4147859847
107	0.4140429642
108	0.4130481563
109	0.4123470245
110	0.4117545529
111	0.410898489
112	0.4104050965
113	0.4094109229
114	0.4087858909
115	0.4079385032
116	0.4061901744
117	0.4051240434
118	0.4039927919
119	0.4034100399
120	0.4025140945
121	0.4017560128
122	0.4010409718
123	0.400407216
124	0.3992906911
125	0.3983744263
126	0.3976714393
127	0.3971300737
128	0.3966229687
129	0.39600636
130	0.3950581992
131	0.3938341693
132	0.3923194562
133	0.3915954222
134	0.3907927901
135	0.3893595285
136	0.3883370749
137	0.3877619603
138	0.3869751107
139	0.3862166222
140	0.3854990255
141	0.3846991563
142	0.3841377651
143	0.3833634549
144	0.3824104095
145	0.381704516
146	0.380695409
147	0.3797456263
148	0.3790174231
149	0.3784586299
150	0.3780235034
151	0.377323926
152	0.3767244897
153	0.3758438991
154	0.3752887058
155	0.3747132224
156	0.3742207788
157	0.3732370782
158	0.3722405048
159	0.3716268309
160	0.3710574828
161	0.3704486306
162	0.3698333064
163	0.3694815975
164	0.3690733627
165	0.3682025601
166	0.3676759244
167	0.3671803534
168	0.3667628532
169	0.3662429991
170	0.365276363
171	0.3646472393
172	0.3640360355
173	0.3635354903
174	0.3631411142
175	0.3626890736
176	0.3623107587
177	0.3617914603
178	0.3612072655
179	0.360387167
180	0.3597156368
181	0.3589639114
182	0.3584574556
183	0.3581594849
184	0.3576266365
185	0.3572420202
186	0.3566353516
187	0.35603947
188	0.3555976553
189	0.3547569031
190	0.3543140242
191	0.3538283932
192	0.353410153
193	0.3528680676
194	0.352427843
195	0.3514139974
196	0.3509322226
197	0.3502011257
198	0.3495823632
199	0.3489179157
200	0.3482408322
201	0.3474241832
202	0.3468300649
203	0.3462976949
204	0.3457189549
205	0.3451700521
206	0.3446072795
207	0.3442015293
208	0.3436309674
209	0.3429941396
210	0.3425235058
211	0.3418878246
212	0.3415391966
213	0.3409059017
214	0.3404971859
215	0.3400340023
216	0.3395705213
217	0.3390705107
218	0.3386748942
219	0.3382857695
220	0.337991223
221	0.3375289227
222	0.3369536807
223	0.3365521621
224	0.3362203207
225	0.3357759186
226	0.3352468194
227	0.3348292306
228	0.3344210261
229	0.3336895902
230	0.3330760701
231	0.3325679218
232	0.3320166682
233	0.331578256
234	0.3311848311
235	0.3301973558
236	0.3299516665
237	0.3295906768
238	0.3287057915
239	0.3281717693
240	0.3275432197
241	0.3270484366
242	0.3266842511
243	0.326091968
244	0.3256081569
245	0.3253078881
246	0.3247588164
247	0.3243709399
248	0.3238321787
249	0.323382887
250	0.3227757895
251	0.322281284
252	0.3219294986
253	0.3213159801
254	0.3208322018
255	0.3204301873
256	0.3200668132
257	0.3195517354
258	0.3189917396
259	0.3186031321
260	0.3181440748
261	0.3174180178
262	0.3169274017
263	0.3166171065
264	0.3162888802
265	0.315866554
266	0.3157170831
267	0.3152561616
268	0.3149202011
269	0.31461566
270	0.3142469406
271	0.3139724841
272	0.3136943535
273	0.313428413
274	0.3131513139
275	0.3128783137
276	0.3122748779
277	0.3118068858
278	0.3112337171
279	0.3109488825
280	0.3104848165
281	0.3101227948
282	0.3098926413
283	0.3095732113
284	0.30914797
285	0.3088201235
286	0.3086207073
287	0.3081091911
288	0.3078470805
289	0.3076315331
290	0.3073391393
291	0.306898983
292	0.3064507961
293	0.3058283981
294	0.3055301318
295	0.3051683057
296	0.3048937604
297	0.3043991736
298	0.3039431945
299	0.3034492313
300	0.30306802
301	0.3026647453
302	0.302202668
303	0.3017077622
304	0.301270938
305	0.3010367817
306	0.3007258174
307	0.3005125784
308	0.2999256933
309	0.2995845101
310	0.2993109606
311	0.2989703715
312	0.2986886153
313	0.2982967433
314	0.2978000944
315	0.2974674686
316	0.2970748488
317	0.2966377102
318	0.2963698211
319	0.2960734708
320	0.2956685939
321	0.2951062252
322	0.2946088008
323	0.2942955283
324	0.2938510082
325	0.293531841
326	0.2930296319
327	0.2926813224
328	0.2922788119
329	0.292069955
330	0.2915182638
331	0.2912290375
332	0.2907239818
333	0.2904345448
334	0.2899422089
335	0.2896221252
336	0.289249371
337	0.2889843399
338	0.2883890371
339	0.2880237395
340	0.2876457644
341	0.2873494649
342	0.2870114755
343	0.2866518266
344	0.286221076
345	0.2860024476
346	0.285304582
347	0.2850090087
348	0.2846214887
349	0.2841795192
350	0.2837943759
351	0.2835155881
352	0.2831698501
353	0.2827541179
354	0.2823457067
355	0.2820009055
356	0.281630203
357	0.2813049787
358	0.2809957172
359	0.2806843452
360	0.280453648
361	0.2801964062
362	0.2798019953
363	0.2794340513
364	0.278977702
365	0.2787250522
366	0.2784592962
367	0.2781815412
368	0.2776407182
369	0.2774764371
370	0.2772331843
371	0.2768157643
372	0.2765702664
373	0.2763802151
374	0.2760829875
375	0.2756528302
376	0.2754054807
377	0.2751473371
378	0.2748946973
379	0.2744616568
380	0.2741019721
381	0.273788669
382	0.2733653289
383	0.2729977285
384	0.2727287607
385	0.2723036258
386	0.27210393
387	0.2716832324
388	0.2711747662
389	0.2709328167
390	0.2706333618
391	0.2700657115
392	0.2697868872
393	0.269464605
394	0.2690271536
395	0.268827184
396	0.2686179476
397	0.2682644942
398	0.2679650694
399	0.2677483602
