iter	Passed	Remaining
0	35	14219
1	73	14622
2	106	14081
3	136	13524
4	169	13399
5	199	13076
6	229	12888
7	260	12785
8	290	12640
9	318	12427
10	348	12320
11	376	12166
12	404	12039
13	432	11920
14	459	11802
15	488	11716
16	515	11615
17	545	11583
18	579	11619
19	609	11583
20	641	11569
21	667	11477
22	693	11364
23	720	11285
24	748	11234
25	780	11224
26	807	11158
27	835	11102
28	865	11071
29	901	11122
30	942	11218
31	978	11254
32	1007	11199
33	1037	11171
34	1073	11194
35	1102	11147
36	1138	11165
37	1170	11152
38	1205	11154
39	1241	11170
40	1272	11138
41	1307	11141
42	1341	11135
43	1376	11135
44	1410	11126
45	1443	11109
46	1477	11095
47	1509	11070
48	1542	11052
49	1577	11039
50	1607	11002
51	1640	10980
52	1675	10972
53	1709	10953
54	1740	10919
55	1774	10899
56	1806	10871
57	1840	10853
58	1875	10839
59	1910	10823
60	1942	10797
61	1974	10762
62	2002	10713
63	2035	10687
64	2064	10642
65	2098	10619
66	2128	10578
67	2161	10552
68	2191	10512
69	2222	10476
70	2254	10447
71	2285	10412
72	2320	10396
73	2355	10379
74	2392	10366
75	2424	10334
76	2458	10312
77	2490	10281
78	2522	10248
79	2552	10211
80	2583	10174
81	2612	10129
82	2643	10095
83	2676	10068
84	2708	10037
85	2738	9997
86	2768	9958
87	2797	9919
88	2826	9877
89	2855	9835
90	2884	9793
91	2912	9751
92	2943	9718
93	2973	9680
94	3001	9637
95	3034	9607
96	3063	9569
97	3094	9535
98	3128	9512
99	3166	9499
100	3203	9482
101	3248	9491
102	3285	9475
103	3323	9459
104	3354	9425
105	3388	9399
106	3418	9360
107	3449	9325
108	3477	9282
109	3504	9239
110	3532	9198
111	3563	9163
112	3591	9121
113	3619	9080
114	3650	9046
115	3679	9009
116	3707	8967
117	3735	8928
118	3766	8893
119	3797	8861
120	3833	8839
121	3866	8811
122	3900	8784
123	3932	8753
124	3965	8723
125	3998	8695
126	4030	8663
127	4063	8635
128	4098	8609
129	4129	8577
130	4163	8548
131	4194	8516
132	4223	8479
133	4251	8439
134	4278	8398
135	4306	8360
136	4335	8323
137	4364	8286
138	4392	8248
139	4422	8213
140	4454	8182
141	4485	8150
142	4511	8108
143	4546	8082
144	4581	8056
145	4615	8030
146	4649	8002
147	4686	7979
148	4721	7953
149	4754	7924
150	4786	7893
151	4819	7863
152	4851	7832
153	4880	7795
154	4909	7760
155	4938	7724
156	4968	7689
157	4997	7654
158	5027	7619
159	5057	7586
160	5087	7552
161	5120	7522
162	5150	7489
163	5183	7459
164	5217	7430
165	5251	7402
166	5283	7370
167	5317	7342
168	5346	7307
169	5375	7272
170	5409	7244
171	5441	7213
172	5474	7183
173	5509	7155
174	5538	7120
175	5568	7086
176	5600	7056
177	5630	7022
178	5659	6987
179	5692	6957
180	5725	6927
181	5756	6895
182	5787	6862
183	5818	6830
184	5848	6797
185	5882	6768
186	5914	6736
187	5947	6706
188	5979	6675
189	6007	6640
190	6034	6603
191	6063	6569
192	6094	6536
193	6122	6501
194	6152	6468
195	6182	6434
196	6214	6403
197	6247	6373
198	6279	6343
199	6317	6317
200	6349	6286
201	6383	6257
202	6417	6227
203	6448	6195
204	6478	6162
205	6507	6128
206	6535	6093
207	6568	6063
208	6603	6035
209	6641	6009
210	6678	5982
211	6718	5957
212	6758	5933
213	6793	5904
214	6831	5878
215	6869	5852
216	6909	5827
217	6946	5799
218	6982	5771
219	7025	5748
220	7062	5719
221	7101	5694
222	7135	5663
223	7166	5630
224	7202	5601
225	7238	5573
226	7273	5543
227	7304	5510
228	7334	5476
229	7373	5449
230	7407	5419
231	7449	5394
232	7490	5368
233	7536	5346
234	7572	5316
235	7614	5291
236	7658	5267
237	7703	5243
238	7756	5225
239	7800	5200
240	7846	5176
241	7885	5148
242	7920	5117
243	7964	5092
244	8004	5064
245	8039	5033
246	8076	5002
247	8113	4972
248	8153	4944
249	8198	4919
250	8236	4889
251	8274	4859
252	8317	4832
253	8358	4804
254	8401	4777
255	8444	4750
256	8493	4725
257	8533	4696
258	8569	4665
259	8609	4636
260	8654	4608
261	8699	4582
262	8736	4551
263	8774	4520
264	8815	4490
265	8851	4459
266	8902	4434
267	8938	4402
268	8982	4374
269	9025	4345
270	9063	4314
271	9106	4285
272	9147	4255
273	9183	4223
274	9224	4192
275	9267	4163
276	9307	4132
277	9346	4101
278	9381	4068
279	9419	4036
280	9462	4007
281	9499	3975
282	9537	3943
283	9573	3910
284	9612	3878
285	9651	3847
286	9693	3816
287	9756	3794
288	9807	3766
289	9845	3734
290	9883	3702
291	9920	3669
292	9962	3638
293	10000	3605
294	10041	3574
295	10081	3542
296	10119	3509
297	10159	3477
298	10197	3444
299	10234	3411
300	10275	3379
301	10309	3345
302	10344	3311
303	10394	3282
304	10431	3249
305	10469	3216
306	10507	3183
307	10544	3149
308	10585	3117
309	10624	3084
310	10660	3050
311	10700	3017
312	10740	2985
313	10777	2951
314	10816	2918
315	10860	2886
316	10903	2854
317	10944	2822
318	10982	2788
319	11017	2754
320	11056	2721
321	11092	2687
322	11133	2654
323	11174	2621
324	11213	2587
325	11256	2555
326	11292	2521
327	11329	2486
328	11367	2453
329	11405	2419
330	11443	2385
331	11485	2352
332	11533	2320
333	11569	2286
334	11614	2253
335	11653	2219
336	11693	2185
337	11737	2153
338	11780	2119
339	11822	2086
340	11855	2051
341	11889	2016
342	11927	1982
343	11967	1948
344	12009	1914
345	12042	1879
346	12074	1844
347	12110	1809
348	12145	1774
349	12181	1740
350	12213	1704
351	12245	1669
352	12279	1634
353	12315	1600
354	12348	1565
355	12382	1530
356	12416	1495
357	12448	1460
358	12481	1425
359	12515	1390
360	12546	1355
361	12578	1320
362	12618	1286
363	12655	1251
364	12692	1217
365	12725	1182
366	12758	1147
367	12789	1112
368	12816	1076
369	12849	1041
370	12883	1007
371	12915	972
372	12945	937
373	12974	902
374	13003	866
375	13030	831
376	13064	797
377	13091	761
378	13119	726
379	13148	692
380	13175	657
381	13206	622
382	13236	587
383	13264	552
384	13294	517
385	13322	483
386	13353	448
387	13384	413
388	13418	379
389	13447	344
390	13476	310
391	13507	275
392	13537	241
393	13567	206
394	13594	172
395	13623	137
396	13651	103
397	13682	68
398	13713	34
399	13741	0
